0;29;37;18;46;1;30;44;26;48;49;9;34;16;27;36;40;13;4;29;17;17;30;12;2;9;47;49;1;33;39;24;17;4;18;1;21;43;46;15;33;47;29;43;1;29;15;45;37;1
29;0;36;14;23;17;12;47;44;24;36;49;45;39;17;36;34;9;31;25;4;33;39;34;42;43;8;27;1;16;25;17;5;21;35;29;32;35;38;29;24;16;39;50;38;30;49;20;9;21
37;36;0;23;8;42;32;29;18;20;8;40;5;25;8;28;42;37;31;7;42;7;6;39;41;23;13;11;4;45;18;17;25;42;43;47;20;40;23;16;14;25;10;7;17;23;36;28;11;45
18;14;23;0;24;37;17;18;50;48;39;30;7;10;3;18;26;39;28;26;22;43;22;18;4;39;7;11;48;24;9;11;21;20;23;8;2;37;28;30;36;43;25;39;23;50;34;46;1;47
46;23;8;24;0;21;44;11;40;48;45;45;18;50;19;10;4;11;41;2;34;23;34;12;34;41;16;32;27;46;16;41;40;5;42;3;28;19;5;31;11;10;8;21;16;23;15;45;13;23
1;17;42;37;21;0;18;14;19;9;29;31;43;32;39;25;12;50;18;4;50;21;16;28;18;19;12;16;36;21;44;22;23;32;24;10;29;37;19;5;1;29;6;36;12;37;44;42;49;9
30;12;32;17;44;18;0;28;45;18;49;49;38;34;26;10;28;13;44;20;3;37;20;37;26;33;3;39;4;17;21;50;6;45;31;28;45;3;39;33;2;16;38;39;16;8;10;8;7;50
44;47;29;18;11;14;28;0;17;19;9;25;13;48;20;2;22;7;17;25;42;17;39;42;24;36;33;24;33;18;37;35;42;27;1;9;16;23;10;39;48;17;12;33;35;46;33;11;50;24
26;44;18;50;40;19;45;17;0;30;21;39;7;22;50;18;3;1;31;37;32;28;14;47;29;23;17;18;27;50;14;16;20;30;45;10;9;41;16;8;6;43;39;21;18;47;15;43;24;17
48;24;20;48;48;9;18;19;30;0;16;39;4;24;16;38;16;1;24;11;22;17;27;50;36;7;45;4;27;18;15;27;41;1;41;15;50;19;16;9;35;6;46;33;30;49;32;36;3;43
49;36;8;39;45;29;49;9;21;16;0;49;2;2;42;1;26;28;11;38;41;3;26;48;38;46;28;14;45;22;5;48;10;17;41;47;33;48;30;19;36;35;44;23;29;17;9;5;22;7
9;49;40;30;45;31;49;25;39;39;49;0;18;46;29;26;47;34;30;16;46;25;40;34;32;13;6;39;10;8;15;1;41;31;1;43;25;6;8;11;44;8;22;36;4;33;20;30;2;14
34;45;5;7;18;43;38;13;7;4;2;18;0;17;15;31;1;14;30;29;39;50;33;26;13;14;31;34;28;24;30;28;14;11;24;21;24;40;44;27;37;45;19;10;26;30;19;47;3;5
16;39;25;10;50;32;34;48;22;24;2;46;17;0;44;33;9;5;29;31;6;6;3;23;37;49;42;27;22;50;50;34;46;42;26;8;7;31;38;8;38;23;19;44;49;18;3;47;5;38
27;17;8;3;19;39;26;20;50;16;42;29;15;44;0;35;19;8;38;26;29;36;36;1;17;28;13;5;12;6;8;48;34;1;1;50;46;42;4;11;9;3;8;16;8;21;30;16;7;35
36;36;28;18;10;25;10;2;18;38;1;26;31;33;35;0;33;14;41;31;25;11;9;33;2;12;14;9;50;9;3;25;7;44;27;11;44;11;1;10;5;34;3;30;27;22;37;13;45;33
40;34;42;26;4;12;28;22;3;16;26;47;1;9;19;33;0;48;12;11;41;30;21;18;9;16;3;15;2;15;46;50;35;7;10;14;47;4;37;3;16;4;5;2;16;42;12;9;29;46
13;9;37;39;11;50;13;7;1;1;28;34;14;5;8;14;48;0;21;7;26;10;18;22;28;1;23;20;20;39;1;13;40;29;45;46;13;34;47;15;10;1;49;8;7;15;37;47;45;48
4;31;31;28;41;18;44;17;31;24;11;30;30;29;38;41;12;21;0;7;42;8;50;27;9;31;21;31;21;42;33;33;1;25;36;20;10;2;31;48;21;44;1;9;44;24;48;8;46;33
29;25;7;26;2;4;20;25;37;11;38;16;29;31;26;31;11;7;7;0;12;38;31;45;32;16;41;9;11;28;5;25;10;1;44;44;29;20;13;24;34;38;44;13;17;41;3;5;17;50
17;4;42;22;34;50;3;42;32;22;41;46;39;6;29;25;41;26;42;12;0;5;50;18;25;6;44;28;29;31;23;22;43;26;15;14;26;14;31;2;48;48;7;40;19;31;42;15;27;43
17;33;7;43;23;21;37;17;28;17;3;25;50;6;36;11;30;10;8;38;5;0;50;32;38;28;39;2;38;21;29;46;16;14;35;20;12;19;30;2;27;9;20;7;24;21;46;43;20;14
30;39;6;22;34;16;20;39;14;27;26;40;33;3;36;9;21;18;50;31;50;50;0;41;39;38;42;21;26;18;26;36;49;45;20;35;10;37;32;13;45;10;29;31;23;15;28;14;33;38
12;34;39;18;12;28;37;42;47;50;48;34;26;23;1;33;18;22;27;45;18;32;41;0;30;6;8;42;5;22;14;8;21;42;34;37;32;13;14;8;32;12;5;38;2;13;24;18;40;11
2;42;41;4;34;18;26;24;29;36;38;32;13;37;17;2;9;28;9;32;25;38;39;30;0;36;11;7;29;20;26;1;8;25;13;38;50;19;1;1;13;30;46;47;43;43;50;44;37;2
9;43;23;39;41;19;33;36;23;7;46;13;14;49;28;12;16;1;31;16;6;28;38;6;36;0;7;47;50;50;26;17;25;46;22;5;8;24;47;30;14;31;31;7;4;23;15;34;17;16
47;8;13;7;16;12;3;33;17;45;28;6;31;42;13;14;3;23;21;41;44;39;42;8;11;7;0;22;21;37;12;34;50;34;12;5;49;36;31;43;36;3;1;28;42;25;35;35;42;10
