0;49;15;11;14;43;20;31;15;23;35;41;38;2;34;5;23;50;22;44;45;9;25;30;44;46;36;28;36;43;47;33;20;44;18;44;31;23;16;50;34;29;12;4;4;34;43;15;4;40;35;40;7;38;44;22;30;19;50;31;25;30;41;44;38;23;32;15;7;46;17;8;41;13;23;29;13;31;9;27;33;39;11;25;40;41;8;39;46;8;4;24;14;50;45;33;41;42;2;33;
49;0;40;12;3;35;17;8;4;39;30;47;25;22;40;49;26;39;21;10;38;4;45;10;25;44;41;26;16;41;7;15;14;24;50;33;29;10;47;19;25;37;48;6;49;10;36;41;21;47;45;12;1;44;45;26;16;24;23;1;20;29;22;16;7;18;32;16;21;26;26;45;32;15;23;10;34;14;42;38;15;47;21;32;19;13;50;18;22;23;24;18;6;39;6;38;8;50;3;28;
15;40;0;38;17;31;32;33;17;18;14;17;26;25;31;5;36;39;29;2;42;33;20;30;48;8;21;36;10;40;42;28;47;35;39;5;38;50;34;3;34;6;45;4;42;46;21;14;47;6;1;18;9;32;23;24;2;11;6;42;50;24;14;18;3;49;20;39;8;28;47;46;37;3;14;49;16;11;18;9;46;26;44;23;22;37;16;8;41;25;8;10;8;3;17;22;38;15;8;18;
11;12;38;0;46;38;49;37;45;46;9;17;13;42;46;49;45;29;11;2;42;1;36;17;24;27;8;38;7;2;27;42;34;13;20;47;48;31;49;31;15;35;24;5;20;12;34;29;2;46;31;4;2;13;36;31;42;4;48;26;19;47;39;39;17;41;10;44;29;35;13;40;7;31;12;47;44;8;31;13;15;41;36;44;5;33;50;17;9;27;24;47;16;10;49;3;4;43;22;47;
14;3;17;46;0;20;9;29;30;17;1;5;6;2;29;10;29;28;45;42;46;22;19;24;15;35;25;1;22;35;49;24;29;30;10;28;7;3;15;5;47;22;12;27;49;41;6;2;16;48;35;7;17;16;5;26;18;41;19;36;46;44;50;29;12;20;39;24;21;6;23;5;9;2;12;36;21;30;36;10;18;10;28;31;26;35;23;29;40;50;3;45;29;29;35;45;41;47;31;28;
43;35;31;38;20;0;1;22;25;14;43;29;40;28;29;44;41;34;30;39;11;13;26;7;9;26;36;17;35;26;17;30;14;24;10;2;36;11;29;1;18;6;41;40;37;36;2;50;1;8;35;46;36;21;17;46;38;9;5;35;2;23;9;46;24;15;7;9;43;28;48;46;34;16;4;28;22;50;3;37;24;14;19;8;23;14;38;17;11;31;26;15;34;13;34;39;40;24;32;34;
20;17;32;49;9;1;0;3;11;33;5;13;42;16;41;29;9;33;17;48;45;28;50;34;9;45;37;4;1;31;3;40;46;35;46;25;47;34;19;36;16;12;37;11;46;50;40;41;42;31;20;18;41;9;47;13;14;11;15;17;41;15;31;6;34;47;20;44;25;3;46;29;1;43;22;8;35;21;14;36;33;10;47;9;1;17;49;50;32;33;40;32;25;38;7;37;31;20;40;11;
31;8;33;37;29;22;3;0;20;46;1;45;13;34;6;23;37;10;28;26;23;44;31;45;15;47;16;26;12;30;16;7;14;27;42;22;33;20;42;49;12;8;7;39;24;20;18;37;2;8;32;26;29;13;32;21;48;34;6;12;31;28;7;5;43;34;11;44;16;7;45;11;6;41;23;39;41;32;21;23;27;14;6;12;21;17;7;28;37;9;46;1;24;34;45;1;11;14;46;28;
15;4;17;45;30;25;11;20;0;13;45;2;25;3;46;19;24;12;36;4;14;34;21;2;25;2;13;44;11;26;21;32;8;47;20;33;36;16;17;33;45;8;22;19;1;6;49;19;45;32;26;12;18;7;11;20;8;14;22;49;15;7;50;10;22;31;48;29;39;31;9;25;21;24;2;32;30;34;24;5;41;19;8;18;8;35;49;12;32;49;41;17;50;33;7;12;9;17;45;16;
23;39;18;46;17;14;33;46;13;0;12;36;45;30;23;20;34;25;40;46;32;30;49;32;16;28;1;35;42;30;22;36;25;48;46;11;17;10;11;30;27;4;21;33;49;45;19;6;41;25;6;9;25;2;37;50;20;27;17;43;48;26;22;27;12;17;17;37;16;3;37;48;17;50;35;16;42;22;38;15;45;18;18;2;50;11;31;39;7;5;31;18;8;12;20;19;18;22;36;38;
