0;43;35;3;40;33;19;18;3;31;31;50;13;20;1;36;43;27;43;25;5;17;13;13;36;14;37;14;25;39;39;13;7;19;39;11;23;29;13;26;33;22;50;40;38;27;24;44;44;13;
43;0;26;30;15;23;47;47;38;49;32;27;48;45;4;32;25;23;7;26;1;17;28;7;17;16;28;44;11;42;47;7;24;3;37;38;37;22;19;7;47;1;22;43;8;35;11;48;7;26;
35;26;0;40;25;33;24;6;48;27;39;18;13;26;28;35;11;9;28;50;9;39;18;43;27;40;24;22;20;27;30;29;32;8;26;21;17;41;5;39;38;40;43;19;30;45;47;26;2;38;
3;30;40;0;16;19;26;23;18;20;35;35;50;37;41;43;50;35;5;39;12;39;27;4;37;12;7;13;35;1;18;7;22;2;41;20;25;44;3;25;8;33;3;13;13;19;28;41;44;45;
40;15;25;16;0;19;40;42;12;24;29;33;7;28;14;46;38;37;45;37;38;38;15;10;19;10;11;50;7;27;11;19;17;35;50;49;17;3;23;46;33;49;35;32;14;48;19;23;12;48;
33;23;33;19;19;0;4;49;49;36;3;32;37;49;16;9;25;42;27;15;16;29;38;47;12;43;35;38;34;42;43;35;29;6;15;9;12;30;40;10;29;44;23;50;4;18;50;30;12;33;
19;47;24;26;40;4;0;22;8;43;49;29;6;16;18;3;32;20;14;45;37;25;35;1;15;49;43;36;8;7;20;18;24;16;15;26;39;26;28;34;43;38;2;18;39;9;40;22;37;39;
18;47;6;23;42;49;22;0;50;34;17;48;14;49;28;38;42;2;48;49;27;10;42;11;19;39;49;48;8;3;48;35;50;26;9;41;7;35;4;47;38;14;9;48;2;49;25;37;2;27;
3;38;48;18;12;49;8;50;0;34;35;16;14;49;19;8;7;34;30;22;37;9;40;35;18;47;41;7;21;45;47;33;24;24;24;24;30;22;5;11;50;17;9;43;10;45;37;4;1;33;
31;49;27;20;24;36;43;34;34;0;46;25;6;43;40;42;36;46;34;37;40;19;1;44;18;8;50;9;20;38;19;38;6;26;44;41;49;49;18;26;16;33;11;25;31;48;10;42;36;3;
31;32;39;35;29;3;49;17;35;46;0;14;28;2;25;39;16;33;2;13;29;18;41;36;14;33;49;8;37;34;12;36;10;43;37;10;32;6;15;5;8;7;33;49;48;33;35;16;46;44;
50;27;18;35;33;32;29;48;16;25;14;0;47;42;30;22;48;28;31;31;14;25;37;35;36;40;18;22;28;43;5;33;30;26;29;38;46;49;11;11;18;34;7;14;36;5;27;27;21;15;
13;48;13;50;7;37;6;14;14;6;28;47;0;36;3;48;28;38;3;5;9;18;12;42;44;6;11;43;19;27;15;13;28;27;11;15;22;40;40;8;38;45;7;42;40;26;30;44;32;5;
20;45;26;37;28;49;16;49;49;43;2;42;36;0;43;35;19;27;27;25;39;18;6;11;31;20;11;35;47;10;44;40;40;20;36;14;22;13;46;38;25;33;12;32;2;9;16;20;15;5;
1;4;28;41;14;16;18;28;19;40;25;30;3;43;0;41;41;48;7;11;47;17;26;1;2;22;3;24;15;38;4;4;28;4;1;42;2;17;47;25;21;9;25;18;25;35;17;48;6;21;
36;32;35;43;46;9;3;38;8;42;39;22;48;35;41;0;47;6;44;24;47;46;18;43;29;10;43;10;40;42;15;27;31;47;27;41;34;11;29;37;27;11;6;21;35;14;41;17;35;7;
43;25;11;50;38;25;32;42;7;36;16;48;28;19;41;47;0;43;31;18;2;48;33;9;35;13;43;21;39;34;6;24;4;21;16;46;18;24;5;15;15;3;22;45;21;4;50;7;11;32;
27;23;9;35;37;42;20;2;34;46;33;28;38;27;48;6;43;0;6;34;43;41;30;13;23;40;18;13;43;50;43;48;8;41;22;4;11;21;9;7;41;34;14;23;15;25;6;20;21;7;
43;7;28;5;45;27;14;48;30;34;2;31;3;27;7;44;31;6;0;37;10;3;6;18;14;8;25;38;35;45;42;15;21;26;15;20;21;31;20;43;26;6;15;46;41;43;34;20;6;17;
25;26;50;39;37;15;45;49;22;37;13;31;5;25;11;24;18;34;37;0;36;3;29;26;28;11;46;4;36;8;19;47;13;8;14;2;36;30;37;48;46;13;19;2;32;26;14;23;4;14;
5;1;9;12;38;16;37;27;37;40;29;14;9;39;47;47;2;43;10;36;0;20;43;2;46;28;21;22;25;42;10;43;19;2;2;45;44;14;34;1;4;8;26;19;29;39;44;8;35;11;
17;17;39;39;38;29;25;10;9;19;18;25;18;18;17;46;48;41;3;3;20;0;19;43;16;47;36;9;33;39;15;1;9;43;34;47;30;47;14;28;36;50;3;19;18;40;39;13;39;23;
13;28;18;27;15;38;35;42;40;1;41;37;12;6;26;18;33;30;6;29;43;19;0;24;36;34;32;8;29;3;47;20;31;30;28;38;44;24;43;35;30;42;47;8;1;22;20;42;20;45;
13;7;43;4;10;47;1;11;35;44;36;35;42;11;1;43;9;13;18;26;2;43;24;0;8;30;7;11;9;47;39;31;30;10;4;18;21;10;34;43;38;4;38;31;37;28;16;42;6;40;
