0;42;18;35;1;20;25;29;9;13;15;6;46;32;28;12;42;46;43;28;37;42;5;3;4;43;33;22;17;19;46;48;27;22;39;20;13;18;50;36;45;4;12;23;34;24;15;42;12;4
42;0;19;48;45;13;8;38;10;24;42;30;29;17;36;41;43;39;7;41;43;15;49;47;6;41;30;21;1;7;2;44;49;30;24;35;5;7;41;17;27;32;9;45;40;27;24;38;39;19
18;19;0;33;30;42;34;16;40;9;5;31;28;7;24;37;22;46;25;23;21;30;28;24;48;13;37;41;12;37;6;18;6;25;32;3;1;1;42;25;17;31;8;42;8;38;8;38;4;34
35;48;33;0;46;10;10;9;22;39;23;47;7;31;14;19;1;42;13;6;11;10;25;38;49;34;46;42;3;1;42;37;25;21;47;22;49;50;19;35;32;35;4;50;19;39;1;39;28;18
1;45;30;46;0;29;44;49;34;8;22;11;18;14;15;10;17;36;2;1;50;20;7;49;4;25;9;45;10;40;3;46;36;44;44;24;38;15;4;49;1;9;19;31;47;49;32;40;49;10
20;13;42;10;29;0;8;23;23;39;43;39;30;41;8;9;42;16;39;7;12;3;35;23;6;29;47;13;37;26;34;20;43;45;17;32;49;23;2;22;50;8;27;43;40;26;13;1;11;4
25;8;34;10;44;8;0;20;12;39;2;40;6;24;3;36;33;36;39;27;18;8;33;33;20;5;22;40;27;30;19;43;26;6;35;50;42;13;46;11;19;4;40;24;30;47;38;30;50;38
29;38;16;9;49;23;20;0;17;50;44;46;48;17;37;6;39;33;6;35;15;2;17;22;37;14;14;6;36;4;13;9;33;46;14;7;22;9;47;33;32;45;47;23;30;12;36;1;24;17
9;10;40;22;34;23;12;17;0;45;10;43;40;4;25;5;11;46;50;37;14;25;23;19;19;38;6;9;42;3;26;28;15;15;25;35;25;23;10;34;21;38;48;19;28;24;21;14;19;43
13;24;9;39;8;39;39;50;45;0;36;3;31;14;28;3;50;28;26;44;25;24;23;12;32;4;33;6;44;26;32;43;43;23;37;15;1;38;11;14;25;21;21;36;34;12;11;47;18;36
15;42;5;23;22;43;2;44;10;36;0;1;41;45;46;25;20;26;27;45;9;3;22;17;29;44;2;35;19;15;20;3;1;38;11;27;11;8;21;16;27;28;44;9;15;10;33;37;16;38
